Filename,Datetime,Temperature,Average Brightness
000001.jpg,2024-09-17 19:30:00,69,67.58012551700368
000002.jpg,2024-09-17 19:45:00,69,67.60865119485294
000003.jpg,2024-09-17 20:00:00,68,64.29334644990809
000004.jpg,2024-09-17 20:15:00,68,67.54456428079044
000005.jpg,2024-09-17 20:30:00,66,67.59238424862133
000006.jpg,2024-09-17 20:45:00,66,64.44664091222427
000007.jpg,2024-09-17 21:00:00,66,67.62212057674633
000008.jpg,2024-09-17 21:15:00,66,64.5344784007353
000009.jpg,2024-09-17 21:30:00,66,67.67929400275736
000010.jpg,2024-09-17 21:45:00,64,67.63257410386029
000011.jpg,2024-09-17 22:00:00,64,64.56045927159927
000012.jpg,2024-09-17 22:15:00,64,67.6752254710478
000013.jpg,2024-09-17 22:30:00,62,67.65737735523896
000014.jpg,2024-09-17 22:45:00,64,64.63617302389706
000015.jpg,2024-09-17 23:00:00,62,67.75325137867647
000016.jpg,2024-09-17 23:15:00,62,64.5905575022978
000017.jpg,2024-09-17 23:30:00,62,67.77763815487133
000018.jpg,2024-09-17 23:45:00,62,67.83233139935662
000019.jpg,2024-09-18 00:00:00,60,64.55957892922794
000020.jpg,2024-09-18 00:15:00,60,67.72073328354779
000021.jpg,2024-09-18 00:30:00,60,67.69945427389706
000022.jpg,2024-09-18 00:45:00,60,64.59916704963236
000023.jpg,2024-09-18 01:00:00,60,67.79141055836396
000024.jpg,2024-09-18 01:15:00,59,64.53826401654412
000025.jpg,2024-09-18 01:30:00,60,67.81894818474265
000026.jpg,2024-09-18 01:45:00,59,67.81191837086396
000027.jpg,2024-09-18 02:00:00,59,64.56359432444853
000028.jpg,2024-09-18 02:15:00,59,67.80434283088235
000029.jpg,2024-09-18 02:30:00,59,67.74072840073529
000030.jpg,2024-09-18 02:45:00,,64.58553394990808
000031.jpg,2024-09-18 03:00:00,,67.73742819393382
000032.jpg,2024-09-18 03:15:00,,64.54159725413604
000033.jpg,2024-09-18 03:30:00,,67.80727108226102
000034.jpg,2024-09-18 03:45:00,,67.74999138327206
000035.jpg,2024-09-18 04:00:00,,64.49315831801471
